Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,22.250000,22.250000,21.700001,22.000000,12.095684,5244400
2010-04-29,22.000000,23.250000,21.900000,23.000000,12.645488,8773600
2010-04-30,22.950001,23.000000,22.250000,22.299999,12.260625,1644400
2010-05-03,22.750000,22.950001,22.650000,22.799999,12.535525,3302700
2010-05-04,22.799999,22.799999,21.500000,21.500000,11.820782,2276500
2010-05-05,22.000000,22.000000,20.000000,20.590000,11.320459,6999200
2010-05-06,20.500000,20.549999,18.450001,19.450001,10.693686,8029400
2010-05-07,19.500000,19.549999,17.900000,18.600000,10.226351,3881500
2010-05-10,19.750000,19.850000,18.700001,19.010000,10.451771,3861100
2010-05-11,18.750000,19.280001,18.750000,18.900000,10.391294,2626900
2010-05-12,19.200001,20.040001,19.200001,19.799999,10.886114,5714300
2010-05-13,19.850000,20.100000,19.600000,19.650000,10.803642,2475900
2010-05-14,19.299999,19.400000,18.750000,18.750000,10.308816,3133400
2010-05-17,19.000000,19.200001,18.700001,18.850000,10.363800,10117000
2010-05-18,19.049999,19.320000,18.250000,18.790001,10.330811,6219800
2010-05-19,18.900000,18.930000,17.549999,17.700001,9.731524,6227700
2010-05-20,17.139999,17.139999,16.200001,16.900000,9.291683,10248400
2010-05-21,16.350000,17.120001,16.250000,16.549999,9.099253,4560800
2010-05-24,16.700001,17.150000,16.680000,16.900000,9.291683,1761300
2010-05-25,16.790001,16.790001,16.200001,16.570000,9.110247,4649600
2010-05-26,16.990000,17.400000,16.799999,17.150000,9.429133,2079300
2010-05-27,17.650000,18.000000,17.650000,17.900000,9.841489,3156100
2010-05-28,17.900000,17.900000,16.250000,17.770000,9.770014,222200
2010-06-01,17.650000,17.799999,17.200001,17.500000,9.621565,900800
2010-06-02,17.610001,17.660000,17.219999,17.330000,9.528099,829900
2010-06-03,17.450001,17.500000,17.150000,17.330000,9.528099,2173600
2010-06-04,17.049999,17.100000,16.750000,17.049999,9.374152,3147200
2010-06-07,17.150000,17.200001,16.740000,16.889999,9.286184,2826800
2010-06-08,17.030001,17.030001,16.500000,16.750000,9.209211,2037700
2010-06-09,16.790001,17.100000,16.700001,16.790001,9.231206,1410200
2010-06-10,16.969999,17.070000,16.850000,16.969999,9.330171,1401000
2010-06-11,16.940001,17.190001,16.940001,17.139999,9.423639,452500
2010-06-14,17.190001,17.580000,17.190001,17.490000,9.616068,1008500
2010-06-15,17.480000,18.000000,17.350000,17.969999,9.879972,1974300
2010-06-16,17.930000,17.969999,17.629999,17.639999,9.698537,1041500
2010-06-17,17.680000,17.750000,17.139999,17.299999,9.511603,1090600
2010-06-18,17.330000,17.350000,17.150000,17.209999,9.462122,1373700
2010-06-21,17.450001,17.530001,17.090000,17.100000,9.401643,514100
2010-06-22,17.090000,17.100000,16.799999,16.840000,9.258698,1502900
2010-06-23,16.900000,16.950001,16.600000,16.650000,9.154234,1125700
2010-06-24,16.690001,16.920000,16.350000,16.799999,9.236705,2151600
2010-06-25,16.900000,16.920000,16.700001,16.820000,9.247702,612000
2010-06-28,16.870001,16.870001,16.700001,16.870001,9.275189,355800
2010-06-29,16.740000,16.740000,16.250000,16.250000,8.934312,2561000
2010-06-30,16.270000,16.500000,16.150000,16.150000,8.879333,1534100
2010-07-01,16.240000,16.299999,15.400000,15.550000,8.549449,4006100
2010-07-02,15.580000,15.690000,15.400000,15.480000,8.510962,231700
2010-07-06,15.500000,15.590000,14.900000,15.060000,8.280045,833700
2010-07-07,15.050000,15.150000,14.860000,15.000000,8.247053,2137200
2010-07-08,14.950000,15.150000,14.950000,15.050000,8.274545,2422200
2010-07-09,15.100000,16.020000,15.000000,15.800000,8.686898,1478700
2010-07-12,15.820000,16.020000,15.800000,15.820000,8.697892,786100
2010-07-13,15.830000,16.500000,15.830000,16.400000,9.016780,1647300
2010-07-14,16.400000,16.450001,16.250000,16.400000,9.016780,1537200
2010-07-15,16.430000,16.430000,16.000000,16.370001,9.000289,905900
2010-07-16,16.299999,16.299999,16.000000,16.200001,8.906822,624700
2010-07-19,16.180000,16.700001,16.110001,16.450001,9.044272,497300
2010-07-20,16.440001,16.440001,16.150000,16.190001,8.901325,1244700
2010-07-21,16.190001,16.299999,16.190001,16.240000,8.928815,1801200
2010-07-22,16.260000,16.590000,16.260000,16.549999,9.099253,1126300
2010-07-23,16.549999,16.790001,16.520000,16.780001,9.225710,1415100
2010-07-26,17.000000,17.700001,17.000000,17.650000,9.704039,3400400
2010-07-27,17.920000,18.340000,17.250000,18.230000,10.022923,5778800
2010-07-28,18.219999,18.219999,17.820000,17.930000,9.857983,2440000
2010-07-29,18.100000,18.150000,17.840000,17.940001,9.863481,1598500
2010-07-30,17.920000,18.070000,17.680000,18.000000,9.896466,2023100
2010-08-02,18.150000,18.260000,18.049999,18.059999,9.929454,1543000
2010-08-03,18.090000,18.120001,17.700001,17.900000,9.841489,1558700
2010-08-04,17.900000,18.459999,17.900000,18.299999,10.061407,4194300
2010-08-05,18.299999,18.299999,18.200001,18.240000,10.028419,252300
2010-08-06,18.219999,18.250000,17.920000,18.000000,9.896466,500600
2010-08-09,18.000000,18.150000,17.990000,18.049999,9.923959,1252900
2010-08-10,18.049999,18.049999,17.900000,17.990000,9.890967,1056300
2010-08-11,17.799999,17.799999,17.600000,17.610001,9.682047,2021000
2010-08-12,17.629999,17.629999,17.400000,17.500000,9.621565,3260500
2010-08-13,17.510000,18.030001,17.510000,18.020000,9.907463,2973700
2010-08-16,18.850000,19.299999,18.650000,18.700001,10.281331,10729700
2010-08-17,18.950001,19.200001,18.950001,19.070000,10.484759,4572800
2010-08-18,19.100000,20.049999,19.100000,19.799999,10.886114,3564800
2010-08-19,19.889999,20.090000,19.000000,19.799999,10.886114,5313000
2010-08-20,19.799999,20.020000,19.760000,19.889999,10.935596,3292700
2010-08-23,19.900000,20.250000,19.900000,20.059999,11.029063,2222900
2010-08-24,19.799999,20.049999,19.700001,19.990000,10.990576,5178500
2010-08-25,19.940001,20.049999,19.870001,19.930000,10.957591,3994300
2010-08-26,19.950001,20.500000,19.950001,20.000000,10.996074,2807100
2010-08-27,20.139999,20.440001,19.980000,20.440001,11.237988,1984200
2010-08-30,20.400000,20.799999,20.219999,20.219999,11.117030,1728000
2010-08-31,20.219999,20.510000,20.219999,20.500000,11.270978,2316300
2010-09-01,20.500000,21.299999,20.490000,21.020000,11.556876,5464700
2010-09-02,21.049999,21.049999,20.760000,20.950001,11.518387,1548700
2010-09-03,20.990000,21.299999,20.990000,21.129999,11.617352,1072600
2010-09-07,21.120001,21.120001,20.799999,20.959999,11.523888,1540000
2010-09-08,20.950001,21.129999,20.950001,20.990000,11.540380,2135400
2010-09-09,21.000000,21.150000,20.670000,20.700001,11.380939,2958400
2010-09-10,20.709999,20.820000,20.690001,20.790001,11.430419,806500
2010-09-13,20.780001,21.410000,20.780001,21.379999,11.754803,3431400
2010-09-14,21.389999,21.570000,21.309999,21.510000,11.826279,2403900
2010-09-15,21.510000,21.639999,21.450001,21.559999,11.853770,1302100
2010-09-16,21.750000,22.280001,21.750000,21.850000,12.013209,4179800
2010-09-17,22.190001,22.250000,22.010000,22.250000,12.233139,2845700
2010-09-20,22.250000,22.270000,22.190001,22.200001,12.205645,1651400
2010-09-21,22.209999,22.270000,22.170000,22.209999,12.211139,3081900
2010-09-22,22.240000,22.280001,21.850000,21.940001,12.062696,1636900
2010-09-23,21.850000,21.950001,21.600000,21.850000,12.013209,1356500
2010-09-24,22.000000,22.469999,22.000000,22.459999,12.348594,2632000
2010-09-27,22.690001,23.110001,22.690001,23.100000,12.700468,4341200
2010-09-28,23.100000,23.639999,23.030001,23.450001,12.892897,2932200
2010-09-29,23.379999,23.950001,23.370001,23.620001,12.986366,3805000
2010-09-30,23.650000,23.950001,23.260000,23.900000,13.140312,4344600
2010-10-01,23.920000,24.059999,23.709999,23.870001,13.123813,6646000
2010-10-04,24.030001,24.400000,23.930000,24.090000,13.244774,3833700
2010-10-05,24.040001,25.000000,24.030001,24.790001,13.629638,7091600
2010-10-06,24.850000,24.879999,23.950001,24.219999,13.316245,1901200
2010-10-07,24.260000,24.540001,24.190001,24.450001,13.442701,2172800
2010-10-08,24.700001,25.280001,24.700001,25.250000,13.882548,6419900
2010-10-11,25.190001,26.600000,25.129999,26.160000,14.382867,8024800
2010-10-12,26.100000,26.350000,25.450001,26.299999,14.459840,7003500
2010-10-13,26.400000,27.120001,26.290001,26.969999,14.828211,12316200
2010-10-14,26.969999,27.650000,24.450001,27.020000,14.855698,9197400
2010-10-15,27.100000,27.100000,26.500000,26.500000,14.569797,3207600
2010-10-18,26.600000,27.040001,26.410000,26.750000,14.707250,4034900
2010-10-19,26.990000,26.990000,26.440001,26.520000,14.580796,7782900
2010-10-20,26.700001,27.200001,26.650000,27.129999,14.916175,6081700
2010-10-21,27.190001,28.000000,27.100000,27.559999,15.152591,6521800
2010-10-22,27.600000,27.680000,27.299999,27.549999,15.147093,2442100
2010-10-25,27.840000,28.270000,27.719999,27.959999,15.372514,3935100
2010-10-26,28.070000,28.120001,26.500000,27.719999,15.240561,5532600
2010-10-27,27.830000,27.830000,26.850000,27.209999,14.960161,3619200
2010-10-28,27.379999,27.790001,26.990000,27.510000,15.125101,3821600
2010-10-29,27.850000,28.250000,26.600000,26.860001,14.767733,7190600
2010-11-01,26.760000,27.160000,25.700001,26.000000,14.294899,4165000
2010-11-02,26.299999,26.790001,26.180000,26.629999,14.641272,3387900
2010-11-03,26.910000,27.469999,26.350000,26.950001,14.817208,3338400
